pulled_at,reliefweb_id,title,url,date_created,source,countries,disaster_types
2026-09-09T05:38:57Z,4154797,DREF Final Report: Lesotho - Storm Surge,https://reliefweb.int/node/4154797,2025-05-23T18:03:08+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Flash Flood;Flood;Severe Local Storm
2026-09-09T05:38:57Z,4146580,Lesotho provides a digital lifeline for mothers and newborns,https://reliefweb.int/node/4146580,2025-04-15T13:08:52+00:00,World Health Organization,Lesotho,
2026-09-09T05:38:57Z,4145074,Lesotho Economic Update April 2025,https://reliefweb.int/node/4145074,2025-04-08T23:41:30+00:00,World Bank,Lesotho,Drought;Epidemic;Flood
2026-09-09T05:38:57Z,4144485,Lesotho Integrated Master Plan for Neglected Tropical Diseases (NTDs) 2024 - 2030,https://reliefweb.int/node/4144485,2025-04-07T08:51:47+00:00,Government of Lesotho;World Health Organization,Lesotho,
2026-09-09T05:38:57Z,4143414,Mécanisme de santé et d'alimentation scolaires au Kenya et au Lesotho : Rapport d'avancement. Août-décembre 2024,https://reliefweb.int/node/4143414,2025-04-01T21:20:50+00:00,Global Partnership for Education,Kenya;Lesotho,
2026-09-09T05:38:57Z,4142514,Lesotho Annual Country Report 2024 - Country Strategic Plan 2019 - 2024,https://reliefweb.int/node/4142514,2025-03-27T17:22:30+00:00,World Food Programme,Lesotho,Drought
2026-09-09T05:38:57Z,4137960,"Lesotho | Drought - Early Action Protocol Annual Report, 31st January 2024 (EAP2022LS01/MDRLS006)",https://reliefweb.int/node/4137960,2025-03-06T18:42:17+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4134488,Lesotho | Droughts - Operation Update #2 (Emergency Appeal №: MDRLS008),https://reliefweb.int/node/4134488,2025-02-20T13:23:19+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4133969,Lesotho | Droughts - Operation Update #1 (Emergency Appeal №: MDRLS008),https://reliefweb.int/node/4133969,2025-02-18T16:12:12+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4132804,GIEWS Country Brief: Lesotho 14-February-2025,https://reliefweb.int/node/4132804,2025-02-14T13:49:47+00:00,Food and Agriculture Organization of the United Nations,Lesotho,Drought
2026-09-09T05:38:57Z,4130738,Emergency cash transfers: Critical for livelihoods and human capital investments for the poor and vulnerable in Lesotho,https://reliefweb.int/node/4130738,2025-02-07T23:00:04+00:00,World Bank,Lesotho,Drought
2026-09-09T05:38:57Z,4129913,Lesotho: IPC Acute Food Insecurity Analysis January 2025 - March 2025 (Published on 05 February 2025),https://reliefweb.int/node/4129913,2025-02-05T10:54:09+00:00,Integrated Food Security Phase Classification,Lesotho,Drought
2026-09-09T05:38:57Z,4128172,Anticipating the impact of drought in Lesotho - Key findings from the Anticipatory Action activation 2023/24,https://reliefweb.int/node/4128172,2025-01-28T13:50:55+00:00,World Food Programme,Lesotho,Drought
2026-09-09T05:38:57Z,4127974,"WFP Lesotho Country Brief, December 2024",https://reliefweb.int/node/4127974,2025-01-27T18:55:45+00:00,World Food Programme,Lesotho,Drought
2026-09-09T05:38:57Z,4137435,Lesotho FY 2025 Country Roadmap,https://reliefweb.int/node/4137435,2025-01-17T00:00:00+00:00,US Agency for International Development,Lesotho,
2026-09-09T05:38:57Z,4125205,"WFP Lesotho Country Brief, November 2024",https://reliefweb.int/node/4125205,2025-01-15T07:44:22+00:00,World Food Programme,Lesotho,Drought
2026-09-09T05:38:57Z,4115300,"Lesotho Assistance Overview, December 2024",https://reliefweb.int/node/4115300,2024-12-03T20:20:30+00:00,US Agency for International Development,Lesotho;United States of America,Drought
2026-09-09T05:38:57Z,4110490,"WFP Lesotho Country Brief, October 2024",https://reliefweb.int/node/4110490,2024-11-14T18:49:29+00:00,World Food Programme,Lesotho,Drought
2026-09-09T05:38:57Z,4109113,"Lesotho Remote Monitoring Report: Low food access driving Crisis (IPC Phase 3) outcomes until 2025 harvest, October 2024",https://reliefweb.int/node/4109113,2024-11-08T23:06:08+00:00,Famine Early Warning System Network,Lesotho,Drought
2026-09-09T05:38:57Z,4106273,"Lesotho, Africa | Drought-Induced Food Insecurity - Emergency Appeal Operational Strategy (Appeal № MDRLS008)",https://reliefweb.int/node/4106273,2024-10-30T18:43:52+00:00,International Federation of Red Cross and Red Crescent Societies,Lesotho,Drought
2026-09-09T05:38:57Z,4105683,"WFP Lesotho Country Brief, September 2024",https://reliefweb.int/node/4105683,2024-10-29T14:46:35+00:00,World Food Programme,Lesotho,Drought
