computed_at,source_data_pulled_at,year,country,country_code,method,scope,fitness_score,log_fitness_score,sacu_rank,num_countries_in_ranking,diversity_products_above_rca1,iterations_to_converge,converged
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2018,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.793126e-13,-29.3496,5,5,9,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2018,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,1.888567e-09,-20.0874,2,5,20,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2018,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,1.343908e-11,-25.0329,4,5,13,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2018,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,4.579380e-10,-21.5043,3,5,16,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2018,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,71,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2019,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.175754e-13,-29.7717,5,5,6,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2019,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,6.473080e-10,-21.1582,2,5,20,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2019,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,1.154423e-10,-22.8822,4,5,15,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2019,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,5.132116e-10,-21.3903,3,5,16,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2019,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,75,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2020,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.370463e-13,-29.6185,5,5,7,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2020,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,5.682574e-10,-21.2884,2,5,20,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2020,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,1.099310e-10,-22.9312,4,5,16,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2020,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,1.798996e-10,-22.4386,3,5,17,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2020,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,76,34,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2021,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.134027e-13,-29.8078,5,5,5,44,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2021,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,2.506848e-10,-22.1068,3,5,22,44,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2021,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,7.979677e-11,-23.2515,4,5,19,44,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2021,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,3.934155e-09,-19.3536,2,5,22,44,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2021,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,74,44,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2022,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.246151e-13,-29.7135,5,5,6,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2022,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,4.170311e-10,-21.5979,3,5,22,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2022,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,3.426696e-11,-24.0968,4,5,16,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2022,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,9.292103e-10,-20.7967,2,5,20,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2022,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,77,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2023,Botswana,BWA,fitness_complexity_v1,sacu_regional_proxy,1.697001e-13,-29.4047,5,5,8,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2023,Eswatini,SWZ,fitness_complexity_v1,sacu_regional_proxy,9.370369e-10,-20.7883,2,5,23,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2023,Lesotho,LSO,fitness_complexity_v1,sacu_regional_proxy,6.740784e-11,-23.4203,4,5,19,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2023,Namibia,NAM,fitness_complexity_v1,sacu_regional_proxy,4.101911e-10,-21.6144,3,5,19,38,True
2026-09-07T07:02:06Z,2026-09-03T12:28:28Z,2023,South Africa,ZAF,fitness_complexity_v1,sacu_regional_proxy,5.000000e+00,1.6094,1,5,70,38,True
