computed_at,domain,series_id,series_label,latest_period,latest_value,latest_change,prior_change_mean,prior_change_std,z_score,is_anomaly,n_prior_changes
2026-09-07T13:06:59Z,macro,NAM:NE.EXP.GNFS.ZS,NAM — Exports of goods and services (% of GDP),2025,44.6767598538623,3.6115685396774992,-0.515483,3.497148,1.18,False,14
2026-09-07T13:06:59Z,macro,NAM:NE.IMP.GNFS.ZS,NAM — Imports of goods and services (% of GDP),2025,63.9037413199657,-3.032258832039709,0.510391,5.343905,-0.663,False,14
2026-09-07T13:06:59Z,macro,NAM:NE.RSB.GNFS.ZS,NAM — External balance on goods and services (% of GDP),2025,-19.2269814661034,6.643827371717201,-1.025874,5.090191,1.507,False,14
2026-09-07T13:06:59Z,macro,NAM:NV.IND.MANF.ZS,"NAM — Manufacturing, value added (% of GDP)",2025,10.016326829864,-0.2732113296200005,-0.143561,0.953391,-0.136,False,14
2026-09-07T13:06:59Z,macro,NAM:NV.IND.TOTL.ZS,"NAM — Industry (incl. construction), value added (% of GDP)",2025,28.9496601666891,-0.582929884684102,0.150252,1.820944,-0.403,False,14
2026-09-07T13:06:59Z,macro,NAM:NY.GDP.PCAP.CD,NAM — GDP per capita (current US$),2025,4875.92558158247,374.0770861002202,-65.454846,481.847276,0.912,False,14
2026-09-07T13:06:59Z,macro,NAM:NY.GDP.PCAP.KD.ZG,NAM — GDP per capita growth (annual %),2025,-0.331679377239283,-1.814290366518553,-0.209097,4.06066,-0.395,False,14
2026-09-07T13:06:59Z,macro,NAM:SL.UEM.TOTL.ZS,"NAM — Unemployment, total (% of total labor force)",2025,19.291,0.13400000000000034,-0.211643,1.752432,0.197,False,14
2026-09-07T13:06:59Z,macro,NAM:SP.POP.TOTL,"NAM — Population, total",2025,3092816.0,62685.0,65737.142857,12420.936592,-0.246,False,14
2026-09-07T13:06:59Z,macro,NAM:TX.VAL.MANF.ZS.UN,NAM — Manufactured exports (% of merchandise exports),2024,18.3720657548859,-7.940776934605601,-1.345283,5.928847,-1.112,False,13
