pulled_at,country,country_code,indicator_code,indicator_name,outcome_link,year,value
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2025,-2.32173162960181
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2024,-4.3568819642385
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2023,1.52893817984001
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2022,3.82363084321453
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2021,10.2596472128547
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2020,-10.0332383222742
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2019,1.57639094067899
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2018,2.72071433079989
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2017,2.6459126098983
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2016,5.69319455388396
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2015,-6.19995412245493
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2014,4.17099012944411
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2013,9.43871073960261
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2012,-1.83175900387364
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2011,4.75557328946104
2026-09-03T12:26:23Z,Botswana,BWA,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2010,7.82114699392078
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2025,0.864833753647872
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2024,4.0567836183363
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2023,0.578518284725888
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2022,1.28745564005285
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2021,1.09935782526551
2026-09-03T12:26:23Z,Lesotho,LSO,NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Outcome 2 — 7% exit growth target,2020,-9.23727005298078
