pulled_at,reporter,reporter_code,flow,partner,cmd_code,cmd_desc,year,trade_value_usd
2026-09-01T14:52:56Z,Lesotho,426,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,2446934.948
2026-09-01T14:52:56Z,South Africa,710,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,703389109.236
2026-09-01T14:52:56Z,South Africa,710,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,1843359272.59
2026-09-01T14:52:56Z,South Africa,710,Re-import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,1382025.612
2026-09-01T14:52:56Z,South Africa,710,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,1563823.26
2026-09-01T14:52:56Z,South Africa,710,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2023,704952932.497
2026-09-01T14:52:56Z,Lesotho,426,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,168740.166
2026-09-01T14:52:56Z,Lesotho,426,Foreign Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,13654657.0
2026-09-01T14:52:56Z,Lesotho,426,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,13654657.0
2026-09-01T14:52:56Z,Lesotho,426,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,95281.047
2026-09-01T14:52:56Z,Lesotho,426,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,264021.213
2026-09-01T14:52:56Z,South Africa,710,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,690555005.776
2026-09-01T14:52:56Z,South Africa,710,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,1816613839.1
2026-09-01T14:52:56Z,South Africa,710,Re-import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,3700696.323
2026-09-01T14:52:56Z,South Africa,710,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,803443.247
2026-09-01T14:52:56Z,South Africa,710,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2024,691358449.023
2026-09-01T14:52:56Z,South Africa,710,Domestic Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2025,660502355.939
2026-09-01T14:52:56Z,South Africa,710,Import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2025,1868857970.55
2026-09-01T14:52:56Z,South Africa,710,Re-import,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2025,2446443.143
2026-09-01T14:52:56Z,South Africa,710,Re-export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2025,2132150.714
2026-09-01T14:52:56Z,South Africa,710,Export,World,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2025,662634506.652
